Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Consumer Price Index CPI,1964-11-30T00:00:00,31.21,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1964-12-31T00:00:00,31.25,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-01-31T00:00:00,31.28,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-02-28T00:00:00,31.28,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-03-31T00:00:00,31.31,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-04-30T00:00:00,31.38,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-05-31T00:00:00,31.48,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1965-06-30T00:00:00,31.61,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-07-31T00:00:00,31.58,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-08-31T00:00:00,31.55,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1965-09-30T00:00:00,31.62,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-10-31T00:00:00,31.65,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-11-30T00:00:00,31.75,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1965-12-31T00:00:00,31.85,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1966-01-31T00:00:00,31.88,Monthly,UNITEDSTACONPRIINDCP,2015-04-25T14:49:00
United States,Consumer Price Index CPI,1966-02-28T00:00:00,32.08,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1966-03-31T00:00:00,32.18,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
United States,Consumer Price Index CPI,1966-04-30T00:00:00,32.28,Monthly,UNITEDSTACONPRIINDCP,2014-06-11T09:44:00
